Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_147.jpg;0;0;1;0;126.8798;116.6944;0.0002386651;122.1075;-2.269139E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_183.jpg;0;0;0;0;126.8798;116.6944;0.0002387529;122.1075;-2.349929E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_230.jpg;0;0;0;0;126.8798;116.6944;0.0002385478;122.1075;-2.290908E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_275.jpg;0;0;0;0;126.8798;116.6944;0.0002385773;122.1075;-2.188349E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_321.jpg;0;0;0;0;126.8798;116.6944;0.00023846;122.1075;-2.210118E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_363.jpg;0;0;0;0;126.8798;116.6944;0.0002383426;122.1075;-2.23188E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_411.jpg;0;0;0;0;126.8798;116.6944;0.0002382401;122.1075;-2.202366E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_457.jpg;0;0;0;0;126.8798;116.6944;0.0002380202;122.1075;-2.194628E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_500.jpg;0;0;0;0;126.8798;116.6944;0.0002378446;122.1075;-2.033041E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_542.jpg;0;0;0;0;126.8798;116.6944;0.000237669;122.1075;-1.871453E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_588.jpg;0;0;0;0;126.8798;116.6944;0.0002371119;122.1075;-1.877726E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_631.jpg;0;0;0;0;126.8798;116.6944;0.0002369068;122.1075;-1.818705E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_675.jpg;0;0;0;0;126.8798;116.6944;0.0002367017;122.1075;-1.759677E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_717.jpg;0;0;0;0;126.8798;116.6944;0.0002364965;122.1075;-1.700649E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_758.jpg;0;0;0;0;126.8798;116.6944;0.0002362915;122.1075;-1.641628E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_801.jpg;0;0;0;0;126.8798;116.6944;0.0002360863;122.1075;-1.5826E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_847.jpg;0;0;0;0;126.8798;116.6944;0.0002357786;122.1075;-1.494065E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_895.jpg;0;0;0;0;126.8798;116.6944;0.0002355735;122.1075;-1.435037E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_939.jpg;0;0;0;0;126.8798;116.6944;0.0002353684;122.1075;-1.376009E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_24_984.jpg;0;0;0;0;126.8798;116.6944;0.0002347531;122.1075;-1.198932E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_034.jpg;0;0;0;0;126.8798;116.6944;0.0002344454;122.1075;-1.110397E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_075.jpg;0;0;0;0;126.8798;116.6944;0.0002342402;122.1075;-1.051369E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_122.jpg;0;0;0;0;126.8798;116.6944;0.0002340351;122.1075;-9.923477E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_171.jpg;0;0;0;0;126.8798;116.6944;0.0002336979;122.1075;-1.006365E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_217.jpg;0;0;0;0;126.8798;116.6944;0.0002334633;122.1075;-1.049903E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_258.jpg;0;0;0;0;126.8798;116.6944;0.0002332287;122.1075;-1.093435E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_300.jpg;0;0;0;0;126.8798;116.6944;0.000232994;122.1075;-1.136973E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_347.jpg;0;0;0;0;126.8798;116.6944;0.0002326421;122.1075;-1.202274E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_396.jpg;0;0;0;0;126.8798;116.6944;0.0002324075;122.1075;-1.245805E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_438.jpg;0;0;0;0;126.8798;116.6944;0.0002321728;122.1075;-1.289343E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_479.jpg;0;0;0;0;126.8798;116.6944;0.0002319382;122.1075;-1.332875E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_519.jpg;0;0;0;0;126.8798;116.6944;0.0002317183;122.1075;-1.32513E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img always on left & shorter - set 8\IMG\robocam_2020_12_16_01_18_25_562.jpg;0;0;0;0;126.8798;116.6944;0.0002315132;122.1075;-1.266109E-06
