Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_017.jpg;0;0;1;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_058.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_099.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_148.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_192.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_233.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_280.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_322.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_367.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_416.jpg;-2.2692;0;0;0;99.66999;85.58897;0.0002359519;56.7362;1.459281E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_462.jpg;-5.165208;0;0;0;99.66999;85.58897;0.0002371715;56.03042;3.926159E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_505.jpg;-7.684968;0;0;0;99.66999;85.58897;0.0002372616;55.1997;7.250216E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_550.jpg;-9.917405;0;0;0;99.66999;85.58897;0.000236908;54.08119;1.149709E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_595.jpg;-8.181654;0;0;0;99.66999;85.58897;0.0002374241;52.93088;1.493457E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_636.jpg;-5.73567;0;0;0;99.66999;85.58897;0.0002374589;52.06482;1.683801E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_678.jpg;-3.258564;0;0;0;99.66999;85.58897;0.000237624;51.29902;1.790183E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_720.jpg;-0.7366554;0;0;0;99.66999;85.58897;0.00023776;51.14899;1.736389E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_761.jpg;0;0;0;0;99.66999;85.58897;0.0002379904;51.14899;1.57477E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_803.jpg;0;0;0;0;99.66999;85.58897;0.0002381557;51.14899;1.399539E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_845.jpg;0;0;0;0;99.66999;85.58897;0.0002382026;51.14899;1.22579E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_886.jpg;0;0;0;0;99.66999;85.58897;0.0002381963;51.14899;1.067138E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_928.jpg;0;0;0;0;99.66999;85.58897;0.0002382907;51.14899;9.120355E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_32_970.jpg;0;0;0;0;99.66999;85.58897;0.0002384027;51.14899;7.519001E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_011.jpg;0;0;0;0;99.66999;85.58897;0.0002385325;51.14899;5.867329E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_064.jpg;0;0;0;0;99.66999;85.58897;0.0002387273;51.14899;3.389821E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_104.jpg;0;0;0;0;99.66999;85.58897;0.0002388571;51.14899;1.738136E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_149.jpg;0;0;0;0;99.66999;85.58897;0.0002389869;51.14899;8.646386E-08
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_196.jpg;0;0;0;0;99.66999;85.58897;0.0002391167;51.14899;-1.565208E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_237.jpg;0;0;0;0;99.66999;85.58897;0.0002390156;51.14899;-3.524656E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_279.jpg;0;0;0;0;99.66999;85.58897;0.0002391515;51.14899;-4.551781E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_320.jpg;0;0;0;0;99.66999;85.58897;0.0002392696;51.14899;-5.528587E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_361.jpg;0;0;0;0;99.66999;85.58897;0.0002392161;51.14899;-6.339598E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_403.jpg;0;0.0753309;0;0;99.67043;85.58951;0.01581328;51.14898;-7.123674E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_445.jpg;0;0.2011131;0;0;99.6703;85.58936;0.01001187;51.14798;-7.111376E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_486.jpg;0;0.3255291;0;0;99.67049;85.58958;0.01644132;51.10564;2.480571E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_528.jpg;0;0.4508157;0;0.03211005;99.67162;85.59099;0.05471859;50.98224;9.783549E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_570.jpg;0;0.5751011;0;0.04978155;99.67334;85.59311;0.1115542;51.07005;-5.703619E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_612.jpg;0;0.7002989;0;0.0623228;99.67554;85.59585;0.181222;51.14003;-0.0001896654
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_653.jpg;0;0.8249603;0;0.08417675;99.67855;85.59957;0.2736581;51.1516;-7.233146E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_694.jpg;0;0.9510809;0;0.1242684;99.68304;85.60513;0.4110321;51.02568;0.0006284337
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_737.jpg;0;1;0;0.1538662;99.69129;85.61512;0.625105;50.83214;-0.0006823925
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_778.jpg;0;1;0;0.1791414;99.69794;85.62328;0.7833917;50.85352;-0.0005337117
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_820.jpg;0;1;0;0.2313802;99.70557;85.63264;0.9510984;50.89179;-0.0004557912
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_861.jpg;0;1;0;0.2522681;99.71413;85.64301;1.12292;50.69342;0.001512484
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_903.jpg;0;1;0;0.2893163;99.72307;85.65391;1.267653;50.62443;-0.0008699415
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_945.jpg;0;1;0;0.3349778;99.73216;85.66486;1.33214;50.56505;-0.001260217
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_33_987.jpg;0;1;0;0.3809737;99.74036;85.675;1.256025;50.51728;-0.002256319
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_028.jpg;0;1;0;0.4057741;99.74977;85.68641;1.170374;50.51528;-0.001206367
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_069.jpg;0;1;0;0.443035;99.76018;85.69895;1.104211;50.52885;-0.0002919647
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_111.jpg;0;1;0;0.4996877;99.7725;85.71375;1.094147;50.40338;0.0007731796
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_153.jpg;0;1;0;0.5146744;99.78546;85.72928;1.093154;50.30292;0.0002229289
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_194.jpg;0;1;0;0.5461069;99.79956;85.74619;1.117529;50.25875;-0.0001093038
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_237.jpg;0;1;0;0.5596263;99.82261;85.77377;1.188401;50.28514;-0.0006701964
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_278.jpg;0;1;0;0.6110091;99.8389;85.7932;1.232141;50.19971;1.753309E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_320.jpg;0;1;0;0.6375735;99.85552;85.81299;1.236549;50.24174;-0.002524343
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_362.jpg;0;1;0;0.6750423;99.87272;85.83352;1.220467;50.25581;-0.00105118
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_404.jpg;0;1;0;0.7056367;99.89078;85.85506;1.200036;50.22596;-0.0007312307
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_444.jpg;0;1;0;0.7685521;99.90999;85.87797;1.19256;50.19185;-4.33384E-05
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_490.jpg;0;1;0;0.7828064;99.93023;85.90209;1.201806;50.19518;-0.000375743
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_532.jpg;0;1;0;0.8325081;99.95133;85.92722;1.209564;50.22218;-0.001429269
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_18_35_34_574.jpg;0;1;0;0.8629974;99.97321;85.95332;1.213505;50.2668;-0.001158003
