Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_46_740.jpg;0;0.1034091;0;0;99.67019;85.5891;-0.004714725;201.0495;-2.188629E-07
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_46_811.jpg;0;0.2979582;0;0.02964455;99.66869;85.58852;0.03139504;201.0399;2.228483E-05
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_46_872.jpg;0;0.5021373;0;0.0269712;99.66615;85.58752;0.08742338;201.001;0.0001385383
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_46_940.jpg;0;0.7044072;0;0.07754415;99.66074;85.58545;0.2044396;200.8619;0.0005308371
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_007.jpg;0;0.8987835;0;0.1018386;99.64939;85.58112;0.435702;201.0433;-0.0007956066
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_072.jpg;0;1;0;0.1246392;99.63717;85.57652;0.6474683;200.9307;-6.227609E-05
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_139.jpg;-3.100554;1;0;0.207459;99.62114;85.57065;0.898295;200.8535;-0.0001694682
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_208.jpg;-6.022422;1;0;0.2599258;99.59539;85.56204;1.233602;200.8463;-0.001818479
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_273.jpg;-8.993021;1;0;0.3064635;99.5746;85.55598;1.341223;200.6932;-0.001476045
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_340.jpg;-12.07665;1;0;0.3790093;99.555;85.55064;1.186087;200.4748;0.0009289445
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_406.jpg;-15;1;0;0.4538828;99.52217;85.54238;1.062994;199.8445;-0.0009411271
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_471.jpg;-15;1;0;0.4833964;99.49337;85.53558;1.036474;199.3729;359.9865
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_540.jpg;-15;1;0;0.5539243;99.4599;85.52798;1.083246;198.7185;359.9723
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_606.jpg;-15;1;0;0.590427;99.4114;85.51759;1.165537;197.8666;359.9607
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_673.jpg;-15;1;0;0.6361029;99.37205;85.50928;1.211658;197.1835;359.9884
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_739.jpg;-12.00961;1;0;0.7036389;99.32982;85.50101;1.231748;196.4865;0.004637115
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_807.jpg;-8.98868;1;0;0.7558712;99.27038;85.48881;1.209237;195.6941;0.00399511
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_872.jpg;-6.011322;1;0;0.807036;99.22247;85.47837;1.195495;195.2803;0.002083554
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_47_939.jpg;-2.926572;1;0;0.8759265;99.17073;85.46632;1.220391;195.0704;0.001054543
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_007.jpg;0;1;0;0.933226;99.0976;85.44782;1.241539;194.9547;-0.0005161739
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_071.jpg;0;1;0;0.9758027;99.04004;85.43274;1.23282;194.9439;-0.0008224811
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_139.jpg;0;1;0;1.040399;98.97982;85.41692;1.214607;194.9566;-0.001261147
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_206.jpg;0;1;0;1.086659;98.89499;85.39465;1.222532;194.9727;-0.001046645
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_271.jpg;0;1;0;1.135652;98.82829;85.37711;1.22159;194.9739;-0.000851726
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_340.jpg;0;1;0;1.195454;98.7588;85.35882;1.226405;194.9445;-0.0008025708
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_407.jpg;0;1;0;1.24506;98.66187;85.33335;1.232854;194.9069;-0.0008005981
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_472.jpg;0;1;0;1.289228;98.58595;85.31343;1.235991;194.8824;-0.0007442901
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_540.jpg;0;0.7937983;0;1.352148;98.50751;85.29291;1.236062;194.8592;-0.0008044419
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_607.jpg;0;0.5996101;0;1.387398;98.39986;85.26479;1.235191;194.8498;-0.0008487414
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_673.jpg;0;0.3995368;0;1.412107;98.31772;85.24335;1.224227;194.8442;-0.0003734512
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_739.jpg;0;0.1927924;0;1.430086;98.23517;85.22183;1.195341;194.8357;-0.0003285076
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_806.jpg;0;0;0.0952551;1.430217;98.12656;85.19353;1.090293;194.8246;-0.0001041259
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_872.jpg;0;0;0.295626;1.401668;98.04961;85.17341;0.8997722;194.819;0.005469442
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_48_939.jpg;0;0;0.4999068;1.303501;97.97975;85.15495;0.5542756;194.8176;0.02204504
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_006.jpg;0;0;0.697092;1.184631;97.90434;85.13499;359.7219;194.9561;0.04284001
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_071.jpg;0;0;0.8955789;0.9869868;97.86823;85.12576;358.731;195.1343;0.01093499
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_139.jpg;0;0;1;0.6692936;97.84906;85.12053;357.6005;195.1492;359.9913
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_207.jpg;0;0;1;0.443599;97.84053;85.1192;356.1448;194.544;0.00530968
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_271.jpg;0;0;1;0.2870521;97.8399;85.12128;355.2753;194.5343;359.9874
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_340.jpg;0;0;1;0.1633553;97.83985;85.1213;354.7222;194.5356;0.01740283
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_406.jpg;0;0;1;0.06956161;97.83951;85.12212;354.4816;194.5307;359.9919
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_472.jpg;0;0;0;-0.01070132;97.83929;85.12234;354.6595;194.5328;0.005132328
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_539.jpg;0;0;0;-0.131418;97.83887;85.12303;355.193;194.5311;359.9936
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_607.jpg;0;0;0;-0.2358139;97.83841;85.12376;356.3627;194.5305;359.9935
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_672.jpg;0;0;0;-0.3235522;97.8382;85.12428;357.5865;194.5311;0.007764273
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_740.jpg;-1.570504;0;0;-0.4391058;97.83831;85.1245;359.0647;194.5268;359.9909
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_805.jpg;-4.517973;0;0;-0.4292102;97.83904;85.12464;0.9120494;194.5352;359.9868
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_872.jpg;-7.482942;0;0;-0.3502871;97.83929;85.1253;1.994067;194.5329;359.99
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_49_938.jpg;-10.48256;0;0;-0.2310315;97.83936;85.12631;2.765659;192.873;359.9938
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_004.jpg;-13.48958;0;0;-0.1382936;97.8393;85.12809;3.220119;190.7379;359.9538
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_071.jpg;-15;0;0;-0.05110412;97.83955;85.12943;3.320419;187.2397;359.9409
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_137.jpg;-15;0;0;0.0794498;97.83995;85.12893;3.01717;184.5035;359.9853
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_205.jpg;-15;0;0;0.1768445;97.84032;85.12899;2.129578;180.9094;359.9643
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_272.jpg;-15;0;0;0.2704507;97.84036;85.12762;1.139921;178.1111;359.9842
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_340.jpg;-15;0;0;0.294171;97.83999;85.12762;0.1603979;175.4098;359.8955
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_405.jpg;-15;0;0;0.2556278;97.83948;85.12757;359.0642;171.8084;359.7674
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_472.jpg;-15;0;0;0.2082797;97.83907;85.12719;358.4555;169.1375;359.7347
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_539.jpg;-15;0;0;0.1120424;97.83837;85.12553;358.1054;166.5806;359.8154
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_605.jpg;-15;0;0;0.05562895;97.83737;85.12317;358.0412;163.1956;0.07571075
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_672.jpg;-15;0;0;-0.08874914;97.8377;85.12491;358.3158;160.3665;0.1067283
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_739.jpg;-11.99144;0;0;-0.1576615;97.83845;85.12701;358.8109;157.8728;0.06008323
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_805.jpg;-8.984017;0;0;-0.1641392;97.83876;85.12701;359.5476;155.5381;0.07210618
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_871.jpg;-5.903538;0;0;-0.155541;97.83897;85.12697;0.05331253;154.3802;0.1246781
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_50_939.jpg;-3.003216;0;0;-0.1316151;97.83926;85.12717;0.495426;153.6627;0.152573
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_004.jpg;0;0;0;-0.1090007;97.8395;85.12737;0.8622314;153.487;0.1378683
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_071.jpg;0;0;0;-0.08920985;97.83987;85.12782;1.233779;153.4876;0.05619684
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_137.jpg;0;0;0;-0.04558991;97.83974;85.12743;1.327107;153.4894;359.9783
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_204.jpg;0;0;0;0.02322402;97.83905;85.12602;1.222898;153.4883;359.9925
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_271.jpg;0;0;0;0.03585393;97.83904;85.12606;1.083285;153.4879;0.004872984
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_338.jpg;0;0;0;0.04592412;97.83907;85.12625;0.92657;153.4878;0.01002966
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_404.jpg;0;0;0;0.0478527;97.83903;85.12629;0.7108407;153.4877;0.02342583
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_471.jpg;0;0.2013996;0;0.07346208;97.83791;85.12686;0.5730878;153.5489;0.03127412
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_539.jpg;0;0.3989478;0;0.07232421;97.83526;85.1282;0.4716665;153.5633;0.03825468
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_604.jpg;0;0.6007968;0;0.09838371;97.83022;85.13071;0.3689602;153.5413;0.0461221
C:\Users\brian\Downloads\RoboND-Python-StarterKit\RoboND-Rover-Project\gitcopy\EC500_project\IMG\robocam_2020_12_13_16_31_51_671.jpg;0;0.8074659;0;0.1150709;97.82253;85.13455;0.3855122;153.6311;0.04953523
